title,department,center,teacher,start_date,end_date,min_cost,max_cost,days,course_link
دوره جامع نرم افزار Arc GIS,علوم مهندسی,بلوار کاوه(قیطریه),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۱ خرداد ۱۴۰۵,"۹۹,۰۰۰,۰۰۰","۹۹,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/5348/دوره-جامع-نرم-افزار-Arc-GIS
آئین نگارش مکاتبات اداری,مدیریت و کسب و کار,بلوار کاوه(قیطریه),محمدرضا ایزدی,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۲ اسفند ۱۴۰۴,"۲۰,۹۰۰,۰۰۰","۲۶,۴۰۰,۰۰۰",جمعه ساعت ۱۵:۰۰ تا ۱۹:۰۰,https://mftplus.com/lesson/4386/آئین-نگارش-مکاتبات-اداری
CCNA 200-301,فناوری اطلاعات و ارتباطات,بلوار کاوه(قیطریه),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۵ تیر ۱۴۰۵,"۶۴,۰۰۰,۰۰۰","۷۸,۰۰۰,۰۰۰",جمعه ساعت ۱۴:۰۰ تا ۱۹:۰۰,https://mftplus.com/lesson/3742/CCNA-200-301
شینیون و استایل مو,دانش سلامت,آیت الله کاشانی (غرب),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۱۴ فروردین ۱۴۰۵,"۱۰۴,۰۰۰,۰۰۰","۱۰۴,۰۰۰,۰۰۰",جمعه ساعت ۱۰:۰۰ تا ۱۷:۰۰,https://mftplus.com/lesson/5706/شینیون-و-استایل-مو
مقدمه ای بر الگوریتم و برنامه نویسی,فناوری اطلاعات و ارتباطات,زعفرانیه,پدرام راستگو,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۹ خرداد ۱۴۰۵,"۲۸,۰۰۰,۰۰۰","۳۳,۰۰۰,۰۰۰",جمعه ساعت ۱۷:۰۰ تا ۲۰:۰۰,https://mftplus.com/lesson/132017130/مقدمه-ای-بر-الگوریتم-و-برنامه-نویسی
دوره مبانی و مقدمات رمزارزها (ارز دیجیتال),علوم مالی و حسابداری,آیت الله کاشانی (غرب),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۸ فروردین ۱۴۰۵,"۷۳,۰۰۰,۰۰۰","۷۳,۰۰۰,۰۰۰",جمعه ساعت ۱۰:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/4996/دوره-مبانی-و-مقدمات-رمزارزها-(ارز-دیجیتال)
آئین نگارش مکاتبات اداری,مدیریت و کسب و کار,آیت الله کاشانی (غرب),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۲ اسفند ۱۴۰۴,"۲۶,۴۰۰,۰۰۰","۲۶,۴۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/4386/آئین-نگارش-مکاتبات-اداری
رفتار سازمانی,مدیریت و کسب و کار,آیت الله کاشانی (غرب),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۲ اسفند ۱۴۰۴,"۴۳,۰۰۰,۰۰۰","۴۳,۰۰۰,۰۰۰",جمعه ساعت ۱۰:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/4945/رفتار-سازمانی
مدیریت تبلیغات,مدیریت و کسب و کار,آیت الله کاشانی (غرب),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۲ اسفند ۱۴۰۴,"۴۰,۸۰۰,۰۰۰","۴۶,۹۰۰,۰۰۰",جمعه ساعت ۱۴:۳۰ تا ۱۸:۳۰,https://mftplus.com/lesson/4929/مدیریت-تبلیغات
مدیریت برند,مدیریت و کسب و کار,آیت الله کاشانی (غرب),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۱۴ فروردین ۱۴۰۵,"۴۴,۰۰۰,۰۰۰","۵۲,۹۰۰,۰۰۰",جمعه ساعت ۱۴:۳۰ تا ۱۸:۳۰,https://mftplus.com/lesson/4928/مدیریت-برند
بینایی ماشین و پردازش تصویر,فناوری اطلاعات و ارتباطات,سعادت آباد (مرکزی),فاطمه رفیع پور,جمعه ۱ اسفند ۱۴۰۴,جمعه ۸ خرداد ۱۴۰۵,"۹۱,۰۰۰,۰۰۰","۱۱۴,۰۰۰,۰۰۰",جمعه ساعت ۰۸:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/5275/بینایی-ماشین-و-پردازش-تصویر
مراقبت و زیبایی دست و ناخن,دانش سلامت,بلوار کاوه(قیطریه),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۴ اردیبهشت ۱۴۰۵,"۷۲,۸۰۰,۰۰۰","۷۲,۸۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/4960/مراقبت-و-زیبایی-دست-و-ناخن
نقشه برداری زمینی با دوربین توتال استیشن,علوم مهندسی,سعادت آباد (مرکزی),حامد صابری,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۲ اسفند ۱۴۰۴,"۸۹,۰۰۰,۰۰۰","۸۹,۰۰۰,۰۰۰",جمعه ساعت ۰۸:۰۰ تا ۱۷:۰۰,https://mftplus.com/lesson/153412126/نقشه-برداری-زمینی-با-دوربین-توتال-استیشن
طراحی مکانیکی به کمک SOLIDWORKS I  به همراه کار عملی با دستگاه پرینتر سه بعدی,علوم مهندسی,سعادت آباد (مرکزی),علی نوری اسفندیاری,جمعه ۱ اسفند ۱۴۰۴,جمعه ۱۸ اردیبهشت ۱۴۰۵,"۷۹,۰۰۰,۰۰۰","۷۹,۰۰۰,۰۰۰",جمعه ساعت ۱۴:۳۰ تا ۲۰:۳۰,https://mftplus.com/lesson/153718135/طراحی-مکانیکی-به-کمک-SOLIDWORKS-I-به-همراه-کار-عملی-با-دستگاه-پرینتر-سه-بعدی
دوره طراحی رابط و تجربه کاربری (UI/UX),فناوری اطلاعات و ارتباطات,پارک ساعی,آیدین مدرس اول,جمعه ۱ اسفند ۱۴۰۴,جمعه ۱۱ اردیبهشت ۱۴۰۵,"۵۵,۰۰۰,۰۰۰","۶۸,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/5605/دوره-طراحی-رابط-و-تجربه-کاربری-(UI/UX)
CEH v.12 (Certified Ethical Hacker),فناوری اطلاعات و ارتباطات,پارک ساعی,امیر حسین مرادخانی,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۵ اردیبهشت ۱۴۰۵,"۵۴,۰۰۰,۰۰۰","۶۸,۰۰۰,۰۰۰",جمعه ساعت ۱۴:۰۰ تا ۱۸:۰۰,https://mftplus.com/lesson/5173/CEH-v.12-(Certified-Ethical-Hacker)
طراحی وب سایت (Web Design Pack),فناوری اطلاعات و ارتباطات,آیت الله کاشانی (غرب),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۹ آبان ۱۴۰۵,"۱۸۷,۰۰۰,۰۰۰","۱۸۷,۰۰۰,۰۰۰",جمعه ساعت ۱۴:۳۰ تا ۱۹:۳۰,https://mftplus.com/lesson/6459/طراحی-وب-سایت-(Web-Design-Pack)
(HTML & CSS (Web Design I,فناوری اطلاعات و ارتباطات,آیت الله کاشانی (غرب),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۸ خرداد ۱۴۰۵,"۵۶,۰۰۰,۰۰۰","۵۶,۰۰۰,۰۰۰",جمعه ساعت ۱۴:۳۰ تا ۱۹:۳۰,https://mftplus.com/lesson/6456/(HTML-&-CSS-(Web-Design-I
اصول علمی و عملی  فروش تلفنی,مدیریت و کسب و کار,بلوار کاوه(قیطریه),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۱ اسفند ۱۴۰۴,"۱۹,۰۰۰,۰۰۰","۲۰,۰۰۰,۰۰۰",جمعه ساعت ۰۸:۰۰ تا ۱۶:۰۰,https://mftplus.com/lesson/6267/اصول-علمی-و-عملی-فروش-تلفنی
Programming with Python,فناوری اطلاعات و ارتباطات,زعفرانیه,مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۵ تیر ۱۴۰۵,"۷۰,۰۰۰,۰۰۰","۸۸,۰۰۰,۰۰۰",جمعه ساعت ۱۳:۰۰ تا ۱۷:۰۰,https://mftplus.com/lesson/5679/Programming-with-Python
کمک های اولیه و فوریت های پزشکی,دانش سلامت,سعادت آباد (مرکزی),دکترسمیرا آبادی,جمعه ۱ اسفند ۱۴۰۴,جمعه ۱۸ اردیبهشت ۱۴۰۵,"۴۵,۵۰۰,۰۰۰","۴۵,۵۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/341612128/کمک-های-اولیه-و-فوریت-های-پزشکی
مدیریت راهبردی کسب و کار (DBA),مدیریت و کسب و کار,البرز,مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۹ آبان ۱۴۰۵,"۵۹۲,۹۰۰,۰۰۰","۵۹۲,۹۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۳:۰۰ | پنجشنبه ساعت ۱۵:۰۰ تا ۱۹:۰۰,https://mftplus.com/lesson/4911/مدیریت-راهبردی-کسب-و-کار-(DBA)
دوره جامع نقشه خوانی ساختمان,علوم مهندسی,بلوار کاوه(قیطریه),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۱۸ اردیبهشت ۱۴۰۵,"۷۹,۰۰۰,۰۰۰","۷۹,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/5613/دوره-جامع-نقشه-خوانی-ساختمان
اصول سرپرستی,مدیریت و کسب و کار,اسلامشهر,مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۱ فروردین ۱۴۰۵,"۲۶,۴۰۰,۰۰۰","۳۳,۰۰۰,۰۰۰",جمعه ساعت ۱۷:۰۰ تا ۲۰:۰۰,https://mftplus.com/lesson/4385/اصول-سرپرستی
برق صنعتی : تئوری و آزمایشگاه,برق و الکترونیک,اسلامشهر,مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۱۸ اردیبهشت ۱۴۰۵,"۱۲۰,۰۰۰,۰۰۰","۱۲۴,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۵:۰۰,https://mftplus.com/lesson/4552/برق-صنعتی-:-تئوری-و-آزمایشگاه
کارگاه جامع حسابداری مالی,علوم مالی و حسابداری,سعادت آباد (مرکزی),مهدی اتحادفر,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۷ آذر ۱۴۰۵,"۲۲۵,۷۰۰,۰۰۰","۲۲۵,۷۰۰,۰۰۰",جمعه ساعت ۱۴:۳۰ تا ۲۰:۳۰,https://mftplus.com/lesson/3863/کارگاه-جامع-حسابداری-مالی
حسابداری برای غیر حسابداران,علوم مالی و حسابداری,سعادت آباد (مرکزی),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۱۸ اردیبهشت ۱۴۰۵,"۶۷,۰۰۰,۰۰۰","۶۷,۰۰۰,۰۰۰",جمعه ساعت ۱۴:۳۰ تا ۲۰:۳۰,https://mftplus.com/lesson/3857/حسابداری-برای-غیر-حسابداران
بازرسی چشمی جوش (VT) مطابق استاندارد AWS و مبحث دهم مقررات ملی ساختمان ایران,علوم مهندسی,پارک ساعی,مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۱ فروردین ۱۴۰۵,"۴۸,۰۰۰,۰۰۰","۴۸,۰۰۰,۰۰۰",جمعه ساعت ۱۴:۰۰ تا ۱۷:۰۰,https://mftplus.com/lesson/6416/بازرسی-چشمی-جوش-(VT)-مطابق-استاندارد-AWS-و-مبحث-دهم-مقررات-ملی-ساختمان-ایران
ایلاستریتور,هنر و سینما,نارمک,مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۵ اردیبهشت ۱۴۰۵,"۵۴,۰۰۰,۰۰۰","۵۴,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۳:۰۰,https://mftplus.com/lesson/431314131/ایلاستریتور
فروشندگی حرفه ای طلا و جواهر,علوم مهندسی,سعادت آباد (مرکزی),علیرضا واحدی,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۲ اسفند ۱۴۰۴,"۶۹,۰۰۰,۰۰۰","۶۹,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/154414126/فروشندگی-حرفه-ای-طلا-و-جواهر
جامع بازرگانی بین الملل (ITP),مدیریت و کسب و کار,میرداماد,مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۶ تیر ۱۴۰۵,"۱۴۷,۰۰۰,۰۰۰","۱۶۷,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/4923/جامع-بازرگانی-بین-الملل-(ITP)
برنامه ریزی و کنترل پروژه با نرم افزار MS Project,علوم مهندسی,بلوار کاوه(قیطریه),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۴ اردیبهشت ۱۴۰۵,"۶۵,۰۰۰,۰۰۰","۶۵,۰۰۰,۰۰۰",جمعه ساعت ۰۸:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/154012124/برنامه-ریزی-و-کنترل-پروژه-با-نرم-افزار-MS-Project
"مدیریت پروژه حرفه ای – مبانی و نرم افزارهای کاربردی (PMBOK, MSP & Primavera P6)",علوم مهندسی,بلوار کاوه(قیطریه),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲ مرداد ۱۴۰۵,"۱۶۹,۰۰۰,۰۰۰","۱۶۹,۰۰۰,۰۰۰",جمعه ساعت ۰۸:۰۰ تا ۱۴:۰۰,"https://mftplus.com/lesson/154012130/مدیریت-پروژه-حرفه-ای-–-مبانی-و-نرم-افزارهای-کاربردی-(PMBOK,-MSP-&-Primavera-P6)"
طراحی مکانیکی به کمک SOLIDWORKS I,علوم مهندسی,اسلامشهر,مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۲ خرداد ۱۴۰۵,"۷۹,۰۰۰,۰۰۰","۷۹,۰۰۰,۰۰۰",جمعه ساعت ۱۳:۰۰ تا ۱۷:۰۰,https://mftplus.com/lesson/153718144/طراحی-مکانیکی-به-کمک-SOLIDWORKS-I
طراحی دستی جواهرات,علوم مهندسی,انقلاب,مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۸ خرداد ۱۴۰۵,"۹۹,۰۰۰,۰۰۰","۹۹,۰۰۰,۰۰۰",جمعه ساعت ۱۴:۳۰ تا ۱۹:۳۰,https://mftplus.com/lesson/154412123/طراحی-دستی-جواهرات
ICDL سطح یک و دو نوجوانان,کودک و نوجوان,سعادت آباد (مرکزی),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۱۲ تیر ۱۴۰۵,"۸۵,۱۰۰,۰۰۰","۹۷,۴۰۰,۰۰۰",جمعه ساعت ۱۴:۰۰ تا ۱۹:۰۰,https://mftplus.com/lesson/191412126/ICDL-سطح-یک-و-دو-نوجوانان
تربیت مدرس,کودک و نوجوان,سعادت آباد (مرکزی),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۴ اردیبهشت ۱۴۰۵,"۱۷۲,۵۰۰,۰۰۰","۱۷۲,۵۰۰,۰۰۰",جمعه ساعت ۰۸:۰۰ تا ۱۲:۰۰,https://mftplus.com/lesson/3589/تربیت-مدرس
ICDL سطح یک نوجوانان,کودک و نوجوان,سعادت آباد (مرکزی),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۱۱ اردیبهشت ۱۴۰۵,"۴۸,۳۰۰,۰۰۰","۴۸,۳۰۰,۰۰۰",جمعه ساعت ۱۴:۰۰ تا ۱۹:۰۰,https://mftplus.com/lesson/3587/ICDL-سطح-یک-نوجوانان
ادمین تخصصی اینستاگرام,تولید محتوا,آیت الله کاشانی (غرب),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۸ فروردین ۱۴۰۵,"۶۰,۰۰۰,۰۰۰","۶۰,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/5741/ادمین-تخصصی-اینستاگرام
زبان انگلیسی B1.1,زبانهای خارجی,بلوار کاوه(قیطریه),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۱۱ اردیبهشت ۱۴۰۵,"۲۸,۱۰۰,۰۰۰","۲۸,۱۰۰,۰۰۰",جمعه ساعت ۱۴:۰۰ تا ۱۹:۰۰,https://mftplus.com/lesson/231215286/زبان-انگلیسی-B1.1
جامع اصول انبارداری، برنامه‌ریزی و کنترل موجودی,علوم مهندسی,اسلامشهر,مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۱۱ اردیبهشت ۱۴۰۵,"۸۹,۰۰۰,۰۰۰","۸۹,۰۰۰,۰۰۰",جمعه ساعت ۱۵:۰۰ تا ۲۰:۰۰,https://mftplus.com/lesson/6177/جامع-اصول-انبارداری،-برنامه‌ریزی-و-کنترل-موجودی
تلورانس های ابعادی و هندسی (GD&T),علوم مهندسی,اسلامشهر,مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۵ اردیبهشت ۱۴۰۵,"۶۵,۰۰۰,۰۰۰","۶۵,۰۰۰,۰۰۰",جمعه ساعت ۱۵:۰۰ تا ۱۸:۰۰,https://mftplus.com/lesson/5333/تلورانس-های-ابعادی-و-هندسی-(GD&T)
نقشه خوانی مکانیک و استانداردهای نقشه,علوم مهندسی,اسلامشهر,مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۱۱ اردیبهشت ۱۴۰۵,"۶۵,۰۰۰,۰۰۰","۶۵,۰۰۰,۰۰۰",جمعه ساعت ۱۳:۰۰ تا ۱۷:۰۰,https://mftplus.com/lesson/153718139/نقشه-خوانی-مکانیک-و-استانداردهای-نقشه
دوره جامع محاسبات ساختمان : ETABS/SAFE سطح یک,علوم مهندسی,بلوار کاوه(قیطریه),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۱۳ شهریور ۱۴۰۵,"۱۶۹,۰۰۰,۰۰۰","۱۶۹,۰۰۰,۰۰۰",جمعه ساعت ۱۴:۰۰ تا ۱۹:۰۰,https://mftplus.com/lesson/153812123/دوره-جامع-محاسبات-ساختمان-:-ETABS/SAFE-سطح-یک
نرم افزار Arc GIS (سطح یک),علوم مهندسی,بلوار کاوه(قیطریه),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۸ فروردین ۱۴۰۵,"۵۹,۰۰۰,۰۰۰","۵۹,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/153412124/نرم-افزار-Arc-GIS-(سطح-یک)
فتوشاپ و ایلاستریتور,هنر و سینما,آیت الله کاشانی (غرب),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۱۲ تیر ۱۴۰۵,"۹۴,۰۰۰,۰۰۰","۹۴,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/431312124/فتوشاپ-و-ایلاستریتور
"دوربین های آنالوگ ip , hd",برق و الکترونیک,پارک ساعی,رضا ربیعی کیا,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۸ فروردین ۱۴۰۵,"۱۰۰,۰۰۰,۰۰۰","۱۰۰,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,"https://mftplus.com/lesson/5685/دوربین-های-آنالوگ-ip-,-hd"
Programming with Python,فناوری اطلاعات و ارتباطات,اکباتان,مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۸ خرداد ۱۴۰۵,"۷۰,۰۰۰,۰۰۰","۸۸,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/5679/Programming-with-Python
اتوکد دوبعدی معماری,معماری,بلوار کاوه(قیطریه),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۱۸ اردیبهشت ۱۴۰۵,"۷۵,۰۰۰,۰۰۰","۷۵,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/391412131/اتوکد-دوبعدی-معماری
Installing and Configuring Windows 11,فناوری اطلاعات و ارتباطات,سعادت آباد (مرکزی),پدرام حسین نخعی,جمعه ۱ اسفند ۱۴۰۴,جمعه ۱۱ اردیبهشت ۱۴۰۵,"۳۵,۰۰۰,۰۰۰","۴۴,۰۰۰,۰۰۰",جمعه ساعت ۱۴:۰۰ تا ۱۹:۰۰,https://mftplus.com/lesson/5953/Installing-and-Configuring-Windows-11
زبان انگلیسی A2.1,زبانهای خارجی,اکباتان,ساره قنبری,جمعه ۱ اسفند ۱۴۰۴,جمعه ۸ خرداد ۱۴۰۵,"۲۷,۳۰۰,۰۰۰","۲۷,۳۰۰,۰۰۰",جمعه ساعت ۱۴:۰۰ تا ۱۷:۰۰,https://mftplus.com/lesson/231215282/زبان-انگلیسی-A2.1
CCNA 200-301,فناوری اطلاعات و ارتباطات,اسلامشهر,مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۲ خرداد ۱۴۰۵,"۶۴,۰۰۰,۰۰۰","۷۸,۰۰۰,۰۰۰",جمعه ساعت ۱۵:۰۰ تا ۲۰:۰۰,https://mftplus.com/lesson/3742/CCNA-200-301
فتوشاپ مقدماتی نوجوان,کودک و نوجوان,سعادت آباد (مرکزی),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۱ فروردین ۱۴۰۵,"۴۷,۲۰۰,۰۰۰","۴۷,۲۰۰,۰۰۰",جمعه ساعت ۱۶:۳۰ تا ۲۰:۳۰,https://mftplus.com/lesson/4520/فتوشاپ-مقدماتی-نوجوان
تکنسین داروخانه (نسخه خوانی),دانش سلامت,نارمک,مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۱ خرداد ۱۴۰۵,"۷۱,۵۰۰,۰۰۰","۷۱,۵۰۰,۰۰۰",جمعه ساعت ۰۸:۰۰ تا ۱۳:۰۰,https://mftplus.com/lesson/341615130/تکنسین-داروخانه-(نسخه-خوانی)
متره، برآورد و صورت وضعیت نویسی عمران,علوم مهندسی,بلوار کاوه(قیطریه),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۵ اردیبهشت ۱۴۰۵,"۷۵,۰۰۰,۰۰۰","۷۵,۰۰۰,۰۰۰",جمعه ساعت ۱۴:۰۰ تا ۱۹:۰۰,https://mftplus.com/lesson/153813123/متره،-برآورد-و-صورت-وضعیت-نویسی-عمران
استایلینگ,فناوری مد و پوشاک,نیاوران,مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۱ فروردین ۱۴۰۵,"۶۰,۰۰۰,۰۰۰","۶۰,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/6316/استایلینگ
ICDL Pack 2021,فناوری اطلاعات و ارتباطات,آیت الله کاشانی (غرب),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۱۳ شهریور ۱۴۰۵,"۸۱,۰۰۰,۰۰۰","۸۱,۰۰۰,۰۰۰",جمعه ساعت ۱۴:۳۰ تا ۱۹:۳۰,https://mftplus.com/lesson/5575/ICDL-Pack-2021
نرم افزار Revit معماری,معماری,باملند(شمال غرب),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۱۱ اردیبهشت ۱۴۰۵,"۸۹,۰۰۰,۰۰۰","۸۹,۰۰۰,۰۰۰",جمعه ساعت ۰۸:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/391412129/نرم-افزار-Revit-معماری
Next Js,کودک و نوجوان,سعادت آباد (مرکزی),مهیار محمدی فر,جمعه ۱ اسفند ۱۴۰۴,جمعه ۸ خرداد ۱۴۰۵,"۱۲۴,۳۰۰,۰۰۰","۱۲۴,۳۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/6235/Next-Js
Programming with Python,فناوری اطلاعات و ارتباطات,بلوار کاوه(قیطریه),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۲ خرداد ۱۴۰۵,"۷۰,۰۰۰,۰۰۰","۸۸,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۳:۰۰,https://mftplus.com/lesson/5679/Programming-with-Python
برنامه نویسی مقدماتی #C برای نوجوانان,کودک و نوجوان,سعادت آباد (مرکزی),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۱۸ اردیبهشت ۱۴۰۵,"۶۸,۲۰۰,۰۰۰","۶۸,۲۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/191415129/برنامه-نویسی-مقدماتی-#C-برای-نوجوانان
HTML & CSS I,کودک و نوجوان,سعادت آباد (مرکزی),مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۱۱ اردیبهشت ۱۴۰۵,"۶۰,۵۰۰,۰۰۰","۶۰,۵۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/4635/HTML-&-CSS-I
طراحی مکانیکی به کمک SOLIDWORKS II,علوم مهندسی,اسلامشهر,مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۸ خرداد ۱۴۰۵,"۸۵,۰۰۰,۰۰۰","۸۵,۰۰۰,۰۰۰",جمعه ساعت ۱۴:۰۰ تا ۱۸:۰۰,https://mftplus.com/lesson/153718136/طراحی-مکانیکی-به-کمک-SOLIDWORKS-II
طراحی مکانیکی به کمک SOLIDWORKS I,علوم مهندسی,شهرقدس,مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۵ اردیبهشت ۱۴۰۵,"۶۳,۲۰۰,۰۰۰","۶۳,۲۰۰,۰۰۰",جمعه ساعت ۱۴:۰۰ تا ۱۸:۰۰,https://mftplus.com/lesson/153718144/طراحی-مکانیکی-به-کمک-SOLIDWORKS-I
حسابداری ویژه بازار کار,علوم مالی و حسابداری,شهرقدس,مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۱ آبان ۱۴۰۵,"۱۴۲,۰۸۰,۰۰۰","۱۴۲,۰۸۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/3869/حسابداری-ویژه-بازار-کار
Network+,فناوری اطلاعات و ارتباطات,اسلامشهر,مشخص نشده,جمعه ۱ اسفند ۱۴۰۴,جمعه ۲۱ فروردین ۱۴۰۵,"۱۵,۰۰۰,۰۰۰","۲۰,۰۰۰,۰۰۰",جمعه ساعت ۱۵:۰۰ تا ۲۰:۰۰,https://mftplus.com/lesson/131612129/Network+
