title,department,center,teacher,start_date,end_date,min_cost,max_cost,days,course_link
مهارت های زندگی(بزرگسال),دانش سلامت,سعادت آباد (مرکزی),مشخص نشده,پنجشنبه ۲۱ اسفند ۱۴۰۴,پنجشنبه ۳ اردیبهشت ۱۴۰۵,"۴۴,۳۰۰,۰۰۰","۴۴,۳۰۰,۰۰۰",پنجشنبه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/6026/مهارت-های-زندگی(بزرگسال)
Programming with Python,فناوری اطلاعات و ارتباطات,نیاوران,مشخص نشده,پنجشنبه ۲۱ اسفند ۱۴۰۴,پنجشنبه ۲۸ خرداد ۱۴۰۵,"۷۰,۰۰۰,۰۰۰","۸۸,۰۰۰,۰۰۰",پنجشنبه ساعت ۰۸:۰۰ تا ۱۳:۰۰,https://mftplus.com/lesson/5679/Programming-with-Python
زبان انگلیسی B2.5,زبانهای خارجی,انقلاب,مشخص نشده,پنجشنبه ۲۱ اسفند ۱۴۰۴,پنجشنبه ۲۱ خرداد ۱۴۰۵,"۲۸,۹۰۰,۰۰۰","۲۸,۹۰۰,۰۰۰",پنجشنبه ساعت ۱۶:۰۰ تا ۱۹:۳۰,https://mftplus.com/lesson/231215295/زبان-انگلیسی-B2.5
شیرینی و دسرهای کاربردی,تشریفات و گردشگری,پارک ساعی,مشخص نشده,پنجشنبه ۲۱ اسفند ۱۴۰۴,پنجشنبه ۱۷ اردیبهشت ۱۴۰۵,"۱۲۹,۰۰۰,۰۰۰","۱۲۹,۰۰۰,۰۰۰",پنجشنبه ساعت ۱۵:۳۰ تا ۱۹:۳۰,https://mftplus.com/lesson/3812/شیرینی-و-دسرهای-کاربردی
کاربرد نرم افزار ایلاستریتور و فتوشاپ در طراحی لباس,فناوری مد و پوشاک,میرداماد,مشخص نشده,پنجشنبه ۲۱ اسفند ۱۴۰۴,پنجشنبه ۲۴ اردیبهشت ۱۴۰۵,"۴۳,۰۰۰,۰۰۰","۴۳,۰۰۰,۰۰۰",پنجشنبه ساعت ۱۰:۳۰ تا ۱۴:۳۰,https://mftplus.com/lesson/5625/کاربرد-نرم-افزار-ایلاستریتور-و-فتوشاپ-در-طراحی-لباس
Python Programming Advanced,فناوری اطلاعات و ارتباطات,اسلامشهر,مشخص نشده,پنجشنبه ۲۱ اسفند ۱۴۰۴,پنجشنبه ۲۵ تیر ۱۴۰۵,"۹۲,۰۰۰,۰۰۰","۱۱۴,۰۰۰,۰۰۰",پنجشنبه ساعت ۱۰:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/5681/Python-Programming-Advanced
Data Analysis with Python,فناوری اطلاعات و ارتباطات,انقلاب,مشخص نشده,پنجشنبه ۲۱ اسفند ۱۴۰۴,پنجشنبه ۱۰ اردیبهشت ۱۴۰۵,"۴۰,۰۰۰,۰۰۰","۵۰,۰۰۰,۰۰۰",پنجشنبه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/5544/Data-Analysis-with-Python
سبک شناسی,معماری,سعادت آباد (مرکزی),مشخص نشده,پنجشنبه ۲۱ اسفند ۱۴۰۴,پنجشنبه ۳ اردیبهشت ۱۴۰۵,"۴۵,۰۰۰,۰۰۰","۴۵,۰۰۰,۰۰۰",پنجشنبه ساعت ۱۴:۰۰ تا ۱۹:۰۰,https://mftplus.com/lesson/391212167/سبک-شناسی
برنامه ریزی و کنترل پروژه با نرم افزار Oracle Primavera P6,علوم مهندسی,پارک ساعی,مشخص نشده,پنجشنبه ۲۱ اسفند ۱۴۰۴,جمعه ۴ اردیبهشت ۱۴۰۵,"۷۵,۰۰۰,۰۰۰","۷۵,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰ | پنجشنبه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/154012133/برنامه-ریزی-و-کنترل-پروژه-با-نرم-افزار-Oracle-Primavera-P6
"مدیریت پروژه حرفه ای – مبانی و نرم افزارهای کاربردی (PMBOK, MSP & Primavera P6)",علوم مهندسی,پارک ساعی,مشخص نشده,پنجشنبه ۲۱ اسفند ۱۴۰۴,پنجشنبه ۲۸ خرداد ۱۴۰۵,"۱۶۹,۰۰۰,۰۰۰","۱۶۹,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰ | پنجشنبه ساعت ۰۹:۰۰ تا ۱۴:۰۰,"https://mftplus.com/lesson/154012130/مدیریت-پروژه-حرفه-ای-–-مبانی-و-نرم-افزارهای-کاربردی-(PMBOK,-MSP-&-Primavera-P6)"
MTCNA,فناوری اطلاعات و ارتباطات,انقلاب,مشخص نشده,پنجشنبه ۲۱ اسفند ۱۴۰۴,پنجشنبه ۱۷ اردیبهشت ۱۴۰۵,"۳۶,۰۰۰,۰۰۰","۴۷,۰۰۰,۰۰۰",پنجشنبه ساعت ۱۴:۳۰ تا ۱۹:۳۰,https://mftplus.com/lesson/5690/MTCNA
دوره جامع محاسبات ساختمان : ETABS/SAFE سطح یک,علوم مهندسی,نارمک,مشخص نشده,پنجشنبه ۲۱ اسفند ۱۴۰۴,جمعه ۲۶ تیر ۱۴۰۵,"۱۶۹,۰۰۰,۰۰۰","۱۶۹,۰۰۰,۰۰۰",جمعه ساعت ۱۳:۰۰ تا ۱۷:۰۰ | پنجشنبه ساعت ۱۳:۰۰ تا ۱۷:۰۰,https://mftplus.com/lesson/153812123/دوره-جامع-محاسبات-ساختمان-:-ETABS/SAFE-سطح-یک
طراحی وب سایت (Web Design Pack),فناوری اطلاعات و ارتباطات,باملند(شمال غرب),مشخص نشده,پنجشنبه ۲۱ اسفند ۱۴۰۴,پنجشنبه ۷ آبان ۱۴۰۵,"۱۸۷,۰۰۰,۰۰۰","۱۸۷,۰۰۰,۰۰۰",پنجشنبه ساعت ۰۸:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/6459/طراحی-وب-سایت-(Web-Design-Pack)
(HTML & CSS (Web Design I,فناوری اطلاعات و ارتباطات,باملند(شمال غرب),مشخص نشده,پنجشنبه ۲۱ اسفند ۱۴۰۴,پنجشنبه ۷ خرداد ۱۴۰۵,"۵۶,۰۰۰,۰۰۰","۵۶,۰۰۰,۰۰۰",پنجشنبه ساعت ۰۸:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/6456/(HTML-&-CSS-(Web-Design-I
ادمین تخصصی اینستاگرام,تولید محتوا,نارمک,مشخص نشده,پنجشنبه ۲۱ اسفند ۱۴۰۴,پنجشنبه ۲۴ اردیبهشت ۱۴۰۵,"۶۰,۰۰۰,۰۰۰","۶۰,۰۰۰,۰۰۰",پنجشنبه ساعت ۰۹:۰۰ تا ۱۳:۰۰,https://mftplus.com/lesson/5741/ادمین-تخصصی-اینستاگرام
طراحی مکانیکی به کمک INVENTOR I به همراه کار عملی با دستگاه پرینتر سه بعدی,علوم مهندسی,سعادت آباد (مرکزی),مشخص نشده,پنجشنبه ۲۱ اسفند ۱۴۰۴,پنجشنبه ۳۱ اردیبهشت ۱۴۰۵,"۷۹,۰۰۰,۰۰۰","۷۹,۰۰۰,۰۰۰",پنجشنبه ساعت ۱۴:۳۰ تا ۲۰:۳۰,https://mftplus.com/lesson/153718129/طراحی-مکانیکی-به-کمک-INVENTOR-I-به-همراه-کار-عملی-با-دستگاه-پرینتر-سه-بعدی
برندینگ و مارکتینگ طلا و جواهر (دوره جامع فروش),علوم مهندسی,انقلاب,مشخص نشده,پنجشنبه ۲۱ اسفند ۱۴۰۴,پنجشنبه ۱۵ مرداد ۱۴۰۵,"۱۵۰,۰۰۰,۰۰۰","۱۵۰,۰۰۰,۰۰۰",پنجشنبه ساعت ۱۰:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/4871/برندینگ-و-مارکتینگ-طلا-و-جواهر-(دوره-جامع-فروش)
طراحی نما با اصول ضوابط شهرداری,معماری,سعادت آباد (مرکزی),مشخص نشده,پنجشنبه ۲۱ اسفند ۱۴۰۴,پنجشنبه ۲۹ بهمن ۱۴۰۵,"۳۶۴,۰۰۰,۰۰۰","۳۶۴,۰۰۰,۰۰۰",پنجشنبه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/3785/طراحی-نما-با-اصول-ضوابط-شهرداری
ثبت سفارش و ترخیص کالا,مدیریت و کسب و کار,میرداماد,مشخص نشده,پنجشنبه ۲۱ اسفند ۱۴۰۴,چهارشنبه ۲۷ اسفند ۱۴۰۴,"۷۱,۵۰۰,۰۰۰","۷۱,۵۰۰,۰۰۰",جمعه ساعت ۰۸:۰۰ تا ۱۷:۰۰ | چهارشنبه ساعت ۰۸:۰۰ تا ۱۷:۰۰ | پنجشنبه ساعت ۰۸:۰۰ تا ۱۷:۰۰,https://mftplus.com/lesson/6053/ثبت-سفارش-و-ترخیص-کالا
زبان انگلیسی A1.6,زبانهای خارجی,انقلاب,مشخص نشده,پنجشنبه ۲۱ اسفند ۱۴۰۴,پنجشنبه ۲۸ خرداد ۱۴۰۵,"۲۶,۶۰۰,۰۰۰","۲۶,۶۰۰,۰۰۰",پنجشنبه ساعت ۱۷:۰۰ تا ۲۰:۰۰,https://mftplus.com/lesson/231215280/زبان-انگلیسی-A1.6
مکالمه آزاد انگلیسی سطح متوسط 1,زبانهای خارجی,انقلاب,مشخص نشده,پنجشنبه ۲۱ اسفند ۱۴۰۴,پنجشنبه ۷ خرداد ۱۴۰۵,"۲۷,۸۰۰,۰۰۰","۲۷,۸۰۰,۰۰۰",پنجشنبه ساعت ۱۶:۰۰ تا ۱۹:۰۰,https://mftplus.com/lesson/5427/مکالمه-آزاد-انگلیسی-سطح-متوسط-1
بسته بندی و چاپ,هنر و سینما,اکباتان,مشخص نشده,پنجشنبه ۲۱ اسفند ۱۴۰۴,پنجشنبه ۱۰ اردیبهشت ۱۴۰۵,"۶۳,۰۰۰,۰۰۰","۶۳,۰۰۰,۰۰۰",پنجشنبه ساعت ۱۴:۰۰ تا ۱۹:۰۰,https://mftplus.com/lesson/5087/بسته-بندی-و-چاپ
برنامه نویسی پایتون مقدماتی 1,کودک و نوجوان,سعادت آباد (مرکزی),مشخص نشده,پنجشنبه ۲۱ اسفند ۱۴۰۴,پنجشنبه ۷ خرداد ۱۴۰۵,"۵۵,۷۰۰,۰۰۰","۵۵,۷۰۰,۰۰۰",پنجشنبه ساعت ۱۰:۰۰ تا ۱۳:۰۰,https://mftplus.com/lesson/3931/برنامه-نویسی-پایتون-مقدماتی-1
اتوکد دوبعدی معماری,معماری,اکباتان,مشخص نشده,پنجشنبه ۲۱ اسفند ۱۴۰۴,پنجشنبه ۳۱ اردیبهشت ۱۴۰۵,"۷۵,۰۰۰,۰۰۰","۷۵,۰۰۰,۰۰۰",پنجشنبه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/391412131/اتوکد-دوبعدی-معماری
قوانین بازرگانی و تجارت با چین,مدیریت و کسب و کار,زعفرانیه,مشخص نشده,جمعه ۲۲ اسفند ۱۴۰۴,جمعه ۲۱ فروردین ۱۴۰۵,"۶۹,۰۰۰,۰۰۰","۷۵,۹۰۰,۰۰۰",جمعه ساعت ۱۷:۰۰ تا ۲۱:۰۰,https://mftplus.com/lesson/6099/قوانین-بازرگانی-و-تجارت-با-چین
Python Web Development With Django,فناوری اطلاعات و ارتباطات,زعفرانیه,مشخص نشده,جمعه ۲۲ اسفند ۱۴۰۴,جمعه ۲۹ خرداد ۱۴۰۵,"۵۹,۰۰۰,۰۰۰","۷۴,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۳:۰۰,https://mftplus.com/lesson/4046/Python-Web-Development-With-Django
طراحی دستی جواهرات,علوم مهندسی,سعادت آباد (مرکزی),مشخص نشده,جمعه ۲۲ اسفند ۱۴۰۴,جمعه ۱۲ تیر ۱۴۰۵,"۹۹,۰۰۰,۰۰۰","۹۹,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/154412123/طراحی-دستی-جواهرات
مدیریت بازاریابی دیجیتال,مدیریت و کسب و کار,نیاوران,مشخص نشده,جمعه ۲۲ اسفند ۱۴۰۴,جمعه ۲۲ خرداد ۱۴۰۵,"۱۱۸,۸۰۰,۰۰۰","۱۱۸,۸۰۰,۰۰۰",جمعه ساعت ۱۴:۰۰ تا ۱۹:۰۰,https://mftplus.com/lesson/4375/مدیریت-بازاریابی-دیجیتال
جامع مدیریت منابع انسانی (HRM),مدیریت و کسب و کار,نیاوران,مشخص نشده,جمعه ۲۲ اسفند ۱۴۰۴,جمعه ۱۶ مرداد ۱۴۰۵,"۱۶۱,۷۰۰,۰۰۰","۱۶۱,۷۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/4924/جامع-مدیریت-منابع-انسانی-(HRM)
ادمین تخصصی اینستاگرام,تولید محتوا,نیاوران,مشخص نشده,جمعه ۲۲ اسفند ۱۴۰۴,جمعه ۱۸ اردیبهشت ۱۴۰۵,"۶۰,۰۰۰,۰۰۰","۶۰,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/5741/ادمین-تخصصی-اینستاگرام
نرم افزار AutoCAD Civil 3D,علوم مهندسی,اسلامشهر,مشخص نشده,جمعه ۲۲ اسفند ۱۴۰۴,جمعه ۱۸ اردیبهشت ۱۴۰۵,"۵۵,۰۰۰,۰۰۰","۵۵,۰۰۰,۰۰۰",جمعه ساعت ۱۵:۰۰ تا ۲۰:۰۰,https://mftplus.com/lesson/153412125/نرم-افزار-AutoCAD-Civil-3D
الکترونیک مقدماتی,برق و الکترونیک,پارک ساعی,مشخص نشده,جمعه ۲۲ اسفند ۱۴۰۴,جمعه ۲۲ خرداد ۱۴۰۵,"۶۳,۰۰۰,۰۰۰","۶۳,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/5230/الکترونیک-مقدماتی
نرم افزار ABAQUS (پیشرفته),علوم مهندسی,سعادت آباد (مرکزی),مشخص نشده,جمعه ۲۲ اسفند ۱۴۰۴,جمعه ۱ خرداد ۱۴۰۵,"۸۵,۰۰۰,۰۰۰","۸۵,۰۰۰,۰۰۰",جمعه ساعت ۱۴:۳۰ تا ۲۰:۳۰,https://mftplus.com/lesson/153716126/نرم-افزار-ABAQUS-(پیشرفته)
Network+,فناوری اطلاعات و ارتباطات,زعفرانیه,مشخص نشده,جمعه ۲۲ اسفند ۱۴۰۴,جمعه ۱ خرداد ۱۴۰۵,"۱۵,۰۰۰,۰۰۰","۲۰,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۳:۰۰,https://mftplus.com/lesson/131612129/Network+
مالیات و عوارض ارزش افزوده,علوم مالی و حسابداری,سیدخندان,مشخص نشده,جمعه ۲۲ اسفند ۱۴۰۴,جمعه ۱۴ فروردین ۱۴۰۵,"۱۱,۷۰۰,۰۰۰","۱۱,۷۰۰,۰۰۰",جمعه ساعت ۱۴:۰۰ تا ۱۸:۰۰,https://mftplus.com/lesson/3859/مالیات-و-عوارض-ارزش-افزوده
مدیریت ارتباط با مشتری (CRM),مدیریت و کسب و کار,بلوار کاوه(قیطریه),مشخص نشده,جمعه ۲۲ اسفند ۱۴۰۴,جمعه ۲۲ اسفند ۱۴۰۴,"۱۹,۳۰۰,۰۰۰","۲۳,۵۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۷:۰۰,https://mftplus.com/lesson/4943/مدیریت-ارتباط-با-مشتری-(CRM)
جامع بازرگانی بین الملل (ITP),مدیریت و کسب و کار,اسلامشهر,مشخص نشده,جمعه ۲۲ اسفند ۱۴۰۴,جمعه ۱۰ مهر ۱۴۰۵,"۱۴۷,۰۰۰,۰۰۰","۱۶۷,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۳:۰۰,https://mftplus.com/lesson/4923/جامع-بازرگانی-بین-الملل-(ITP)
کارگاه جامع مدیریت سرمایه گذاری در بازار رمز ارزها (ارز دیجیتال),علوم مالی و حسابداری,نیاوران,مشخص نشده,جمعه ۲۲ اسفند ۱۴۰۴,جمعه ۱۹ تیر ۱۴۰۵,"۱۷۲,۹۰۰,۰۰۰","۱۷۲,۹۰۰,۰۰۰",جمعه ساعت ۱۴:۰۰ تا ۱۹:۰۰,https://mftplus.com/lesson/4446/کارگاه-جامع-مدیریت-سرمایه-گذاری-در-بازار-رمز-ارزها-(ارز-دیجیتال)
ICDL Pack 2021,فناوری اطلاعات و ارتباطات,سعادت آباد (مرکزی),مشخص نشده,جمعه ۲۲ اسفند ۱۴۰۴,جمعه ۲۷ شهریور ۱۴۰۵,"۶۳,۰۰۰,۰۰۰","۸۱,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/5575/ICDL-Pack-2021
ICDL 2021 Level 1,فناوری اطلاعات و ارتباطات,سعادت آباد (مرکزی),مشخص نشده,جمعه ۲۲ اسفند ۱۴۰۴,جمعه ۲۹ خرداد ۱۴۰۵,"۳۸,۰۰۰,۰۰۰","۴۹,۰۰۰,۰۰۰",جمعه ساعت ۰۹:۰۰ تا ۱۴:۰۰,https://mftplus.com/lesson/5571/ICDL-2021-Level-1
مقدمه ای بر الگوریتم و برنامه نویسی,فناوری اطلاعات و ارتباطات,سعادت آباد (مرکزی),امیرحسین احمدی کمازانی,جمعه ۲۲ اسفند ۱۴۰۴,جمعه ۱۸ اردیبهشت ۱۴۰۵,"۲۸,۰۰۰,۰۰۰","۳۳,۰۰۰,۰۰۰",جمعه ساعت ۱۴:۳۰ تا ۱۹:۳۰,https://mftplus.com/lesson/132017130/مقدمه-ای-بر-الگوریتم-و-برنامه-نویسی
